"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.834437550E-1,-2.593221664E-1,-9.941579819E0,-9.840483218E-2
4.859333900E-1,-2.353939265E-1,-9.958329201E0,-9.361918271E-2
4.884230260E-1,-2.641077936E-1,-9.955936432E0,-8.644071966E-2
4.909127130E-1,-2.904288471E-1,-9.943972588E0,-4.576273263E-2
4.934023490E-1,-2.976073027E-1,-9.915258408E0,1.166501082E-2
4.958919840E-1,-3.071786165E-1,-9.943972588E0,2.362912335E-2
4.983816710E-1,-3.023929596E-1,-9.941579819E0,6.669992954E-2
5.008713070E-1,-2.138585299E-1,-9.910472870E0,1.025922745E-1
5.033609940E-1,-2.186441720E-1,-9.946365356E0,1.145563871E-1
5.057702650E-1,-1.779661775E-1,-9.922437668E0,1.097707376E-1
5.082599010E-1,-1.226321608E-1,-9.932008743E0,1.241276711E-1
5.107495360E-1,-1.683948934E-1,-9.934401512E0,6.909275055E-2
5.132392240E-1,-2.665006220E-1,-9.960722923E0,2.093719784E-3
5.157288590E-1,-3.334996700E-1,-9.979865074E0,-4.576273263E-2
5.182184940E-1,-4.366901219E-1,-9.965508461E0,-5.294119939E-2
5.207081820E-1,-4.148556292E-1,-9.963115692E0,-3.858426586E-2
5.231978170E-1,-3.981058598E-1,-9.982257843E0,-2.422732860E-2
5.256874530E-1,-4.100699723E-1,-9.979865074E0,1.166501082E-2
5.281771400E-1,-4.390829504E-1,-9.946365356E0,-2.691925503E-3
5.306667760E-1,-4.677968323E-1,-9.960722923E0,-3.140579537E-2
5.331564630E-1,-4.797609448E-1,-9.929615974E0,-9.870393202E-3
5.356088070E-1,-4.821537733E-1,-9.915258408E0,-5.772684515E-2
5.380984420E-1,-5.036891699E-1,-9.900901794E0,-2.901297435E-2
5.405880780E-1,-5.060819983E-1,-9.879366875E0,-5.084747914E-3
5.430777650E-1,-5.108676553E-1,-9.874580383E0,-3.619144112E-2
5.455674010E-1,-5.539384484E-1,-9.848259926E0,-7.208377868E-2
5.480570360E-1,-5.778666735E-1,-9.831509590E0,-4.576273263E-2
5.505467240E-1,-5.587241054E-1,-9.886545181E0,-1.079761237E-1
5.530363590E-1,-5.467599630E-1,-9.898509026E0,-1.513460279E-1
5.555259940E-1,-5.826523304E-1,-9.898509026E0,-2.183450609E-1
5.580156820E-1,-6.376872063E-1,-9.905687332E0,-3.068794906E-1
5.605053170E-1,-6.951149702E-1,-9.915258408E0,-3.092723191E-1
5.629950050E-1,-7.360920906E-1,-9.948758125E0,-2.901297510E-1
5.654234420E-1,-7.360920906E-1,-9.958329201E0,-2.709871531E-1
5.679120880E-1,-7.408776879E-1,-9.970293999E0,-2.542374134E-1
5.704007340E-1,-7.193422914E-1,-9.955936432E0,-1.537388563E-1
5.728893800E-1,-6.831508875E-1,-9.955936432E0,-1.079761237E-1
5.753780260E-1,-6.831508875E-1,-9.967901230E0,-7.477570791E-3
5.778667240E-1,-6.664010882E-1,-9.965508461E0,4.277170449E-2
5.803553690E-1,-6.687939167E-1,-9.932008743E0,1.818545163E-1
5.828440150E-1,-5.898307562E-1,-9.905687332E0,2.536391914E-1
5.853327130E-1,-5.228317380E-1,-9.893723488E0,2.991028428E-1
5.878213070E-1,-5.012963414E-1,-9.841081619E0,3.302095234E-1
5.903099530E-1,-4.582255483E-1,-9.836296082E0,3.493520916E-1
5.927986510E-1,-4.339981973E-1,-9.819545746E0,3.302095234E-1
5.952409420E-1,-3.981058598E-1,-9.848259926E0,3.110669553E-1
5.977295880E-1,-4.172484577E-1,-9.838688850E0,2.608176768E-1
6.002182340E-1,-4.124628007E-1,-9.831509590E0,2.440679073E-1
6.027068800E-1,-3.861417472E-1,-9.838688850E0,2.751746178E-1
6.051955260E-1,-3.406781256E-1,-9.855438232E0,2.464607358E-1
6.076842240E-1,-3.119642437E-1,-9.807581902E0,2.129612118E-1
6.101728690E-1,-3.239283562E-1,-9.805189133E0,2.249253243E-1
6.126615150E-1,-3.239283562E-1,-9.821938515E0,1.746760458E-1
6.151501610E-1,-3.502494097E-1,-9.848259926E0,1.001994461E-1
6.176388070E-1,-5.180460811E-1,-9.848259926E0,-2.662015148E-2
6.201274530E-1,-5.922235847E-1,-9.865009308E0,-8.165507019E-2
6.226161510E-1,-7.480561733E-1,-9.939187050E0,-1.393819153E-1
6.250580780E-1,-8.389834166E-1,-9.970293999E0,-1.465603858E-1
6.275467240E-1,-8.629116416E-1,-1.000379372E1,-1.322034448E-1
6.300353690E-1,-9.011968374E-1,-9.979865074E0,-9.601201117E-2
6.325240150E-1,-8.700901270E-1,-9.963115692E0,-2.422732860E-2
6.350126610E-1,-8.868398666E-1,-9.953543663E0,2.093719784E-3
