"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.725780260E-1,-7.795846462E-2,-6.922340393E-2,-1.487757415E-1
5.775553690E-1,-3.201448917E-2,-6.729698181E-2,-5.799457431E-3
5.825327130E-1,-1.782381535E-2,-5.349731445E-2,1.594150364E-1
5.875099530E-1,9.069281816E-2,-4.201889038E-3,3.171725869E-1
5.924409420E-1,1.632532179E-1,5.654239655E-2,3.734505177E-1
5.974182340E-1,2.214103341E-1,6.099987030E-2,3.473055065E-1
6.023955260E-1,2.167147994E-1,5.952262878E-2,2.726175785E-1
6.073728690E-1,2.614409924E-1,4.740524292E-2,2.746406794E-1
6.123501610E-1,2.992328405E-1,8.766841888E-2,2.268135250E-1
6.173274530E-1,2.723987103E-1,5.873203278E-2,1.405474246E-1
6.222580780E-1,4.874527454E-2,3.716659546E-2,-5.358963832E-2
6.272353690E-1,-1.924316883E-1,-6.025123596E-2,-1.437078863E-1
6.322126610E-1,-2.824211717E-1,-9.632205963E-2,-1.162680462E-1
6.371900050E-1,-2.792619467E-1,-6.208515167E-2,-1.485736202E-2
6.421672960E-1,-2.658157945E-1,-5.431938171E-2,4.197940975E-2
6.471445880E-1,-2.374150753E-1,-4.310798645E-2,1.034274474E-1
6.520761510E-1,-1.600006819E-1,3.608703613E-3,1.316341460E-1
6.570534420E-1,-7.793915272E-2,-5.105590820E-2,1.302691698E-1
6.620307340E-1,-1.855653524E-2,-5.778980255E-2,2.833521552E-2
6.670080780E-1,-5.427461863E-2,-9.537410736E-2,-4.014521465E-2
6.719853690E-1,-1.211409569E-1,-1.101140976E-1,-8.757241070E-2
6.769626610E-1,-1.205708385E-1,-6.418037415E-2,-6.308747083E-2
6.818903170E-1,-9.570229053E-2,5.092620850E-3,4.223108292E-2
6.868676090E-1,-3.499221802E-2,6.307125092E-2,7.321975380E-2
6.918449010E-1,-3.034114838E-3,1.526184082E-1,9.361886978E-2
6.968222440E-1,7.283908129E-2,2.437801361E-1,8.329726756E-2
