"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.825458900E-1,-1.466026902E-1,-3.342168778E-2,-6.364767253E-2
3.849775050E-1,-1.434070021E-1,-3.981308267E-2,-6.790860742E-2
3.874671400E-1,-1.455374658E-1,-3.874785081E-2,-7.003907114E-2
3.899567760E-1,-1.434070021E-1,-4.087831825E-2,-6.684337556E-2
3.924464630E-1,-1.412765235E-1,-4.300878197E-2,-6.258244067E-2
3.949360990E-1,-1.380808353E-1,-3.981308267E-2,-5.832150951E-2
3.974257340E-1,-1.434070021E-1,-3.555215150E-2,-5.512581021E-2
3.999154210E-1,-1.455374658E-1,-3.129122034E-2,-5.299534276E-2
4.024050570E-1,-1.466026902E-1,-2.276935615E-2,-4.873441160E-2
4.048946920E-1,-1.487331539E-1,-2.383458801E-2,-4.340824485E-2
4.073843800E-1,-1.466026902E-1,-1.331541315E-2,-3.914731368E-2
4.098740150E-1,-1.508636326E-1,-9.054481052E-3,-3.275591508E-2
4.123637030E-1,-1.519288570E-1,-1.438064594E-2,-3.275591508E-2
4.147944320E-1,-1.497983932E-1,-1.957365684E-2,-3.275591508E-2
4.172840670E-1,-1.487331539E-1,-2.596505545E-2,-2.849498391E-2
4.197737030E-1,-1.434070021E-1,-3.768261895E-2,-2.849498391E-2
4.222633900E-1,-1.434070021E-1,-5.153064802E-2,-3.062544949E-2
4.247530260E-1,-1.370155960E-1,-6.218297780E-2,-3.062544949E-2
4.272426610E-1,-1.306242049E-1,-7.283531129E-2,-2.849498391E-2
4.297323490E-1,-1.231675670E-1,-8.561810106E-2,-2.529928461E-2
4.322219840E-1,-1.157109365E-1,-9.413997084E-2,-2.529928461E-2
4.347116190E-1,-1.050586104E-1,-9.520520270E-2,-2.210358530E-2
4.372013070E-1,-1.007976755E-1,-9.733566642E-2,-1.890788600E-2
4.396909420E-1,-9.866721183E-2,-9.840089828E-2,-1.145125460E-2
4.421806300E-1,-8.908011019E-2,-1.026618332E-1,-1.864157850E-3
4.446080780E-1,-8.268871158E-2,-1.005313694E-1,6.657706574E-3
4.470977130E-1,-7.523208112E-2,-9.840089828E-2,1.731003635E-2
4.495873490E-1,-7.203638554E-2,-9.520520270E-2,2.476666868E-2
4.520770360E-1,-7.310161740E-2,-8.987903595E-2,3.328853101E-2
4.545666710E-1,-6.457975507E-2,-8.774857223E-2,4.287562892E-2
4.570563070E-1,-6.031882018E-2,-8.881380409E-2,5.033225939E-2
4.595459940E-1,-5.605788901E-2,-8.774857223E-2,5.778888986E-2
4.620356300E-1,-5.392742157E-2,-8.348763734E-2,6.418029219E-2
4.645252650E-1,-5.073172227E-2,-8.135717362E-2,7.270215452E-2
4.670149530E-1,-5.073172227E-2,-8.348763734E-2,8.122401685E-2
4.695045880E-1,-4.434032366E-2,-8.135717362E-2,8.122401685E-2
4.719942760E-1,-4.434032366E-2,-7.709623873E-2,8.441971987E-2
4.744247960E-1,-3.794892505E-2,-7.070484012E-2,9.081111848E-2
4.769144320E-1,-3.475322574E-2,-6.644391268E-2,8.974587917E-2
4.794040670E-1,-3.262276202E-2,-6.111774594E-2,9.081111848E-2
4.818937550E-1,-3.049229458E-2,-5.685681105E-2,8.761541545E-2
4.843833900E-1,-2.729659714E-2,-5.259587988E-2,8.974587917E-2
4.868730260E-1,-2.623136342E-2,-5.579157919E-2,8.974587917E-2
4.893627130E-1,-1.983996481E-2,-5.153064802E-2,8.974587917E-2
4.918523490E-1,-1.451379992E-2,-5.153064802E-2,8.974587917E-2
4.943419840E-1,-1.344856713E-2,-5.046541616E-2,9.294158220E-2
4.968316710E-1,-7.057168987E-3,-4.513924941E-2,9.400681406E-2
4.993213070E-1,-4.926702939E-3,-3.768261895E-2,9.400681406E-2
5.018109940E-1,3.994623839E-4,-2.809552103E-2,8.974587917E-2
5.042202650E-1,7.856093347E-3,-2.063889056E-2,9.081111848E-2
5.067099010E-1,1.211702544E-2,-6.924014539E-3,8.974587917E-2
5.091995360E-1,1.744319126E-2,7.989247330E-3,8.761541545E-2
5.116892240E-1,2.170412242E-2,1.757634431E-2,8.548495173E-2
5.141788590E-1,2.489982173E-2,2.396774292E-2,8.015878499E-2
5.166684940E-1,2.703028731E-2,2.609820850E-2,7.696308941E-2
5.191581820E-1,3.555215150E-2,2.609820850E-2,7.696308941E-2
5.216478170E-1,3.874785081E-2,2.822867595E-2,7.376738638E-2
5.241374530E-1,3.981308267E-2,2.716344222E-2,7.270215452E-2
5.266271400E-1,4.620448127E-2,2.716344222E-2,6.844121963E-2
5.291167760E-1,5.259587988E-2,2.929390781E-2,6.524552405E-2
5.316064630E-1,5.792204663E-2,2.822867595E-2,5.991935730E-2
5.340588070E-1,6.111774594E-2,3.355484083E-2,6.204982474E-2
5.365484420E-1,6.111774594E-2,2.929390781E-2,5.778888986E-2
5.390380780E-1,6.431344151E-2,2.503297664E-2,4.713656008E-2
5.415277650E-1,6.750914454E-2,3.248960897E-2,4.181039706E-2
5.440174010E-1,7.283531129E-2,3.675054014E-2,4.074516147E-2
5.465070360E-1,7.390054315E-2,3.142437339E-2,3.861469775E-2
5.489967240E-1,7.496577501E-2,2.716344222E-2,3.328853101E-2
5.514863590E-1,7.603100687E-2,2.716344222E-2,2.263620123E-2
5.539759940E-1,7.496577501E-2,2.290250920E-2,1.837527007E-2
5.564656820E-1,7.496577501E-2,1.438064594E-2,8.788172156E-3
5.589553170E-1,7.390054315E-2,-5.326165119E-4,3.462007269E-3
5.614450050E-1,6.750914454E-2,-1.651111245E-2,-1.864157850E-3
5.638734420E-1,6.644391268E-2,-2.916075476E-2,-1.864157850E-3
5.663620880E-1,6.324820966E-2,-4.194355011E-2,-5.059856921E-3
5.688507340E-1,5.898727849E-2,-5.259587988E-2,-8.255556226E-3
5.713393800E-1,6.218297780E-2,-5.792204663E-2,-1.145125460E-2
5.738280260E-1,6.005251035E-2,-6.111774594E-2,-1.251648832E-2
5.763167240E-1,5.898727849E-2,-6.111774594E-2,-1.890788600E-2
5.788053690E-1,6.324820966E-2,-5.898727849E-2,-2.529928461E-2
5.812940150E-1,6.431344151E-2,-5.685681105E-2,-2.956021577E-2
5.837827130E-1,6.537867337E-2,-4.726971686E-2,-3.382114694E-2
5.862713070E-1,6.431344151E-2,-3.661738336E-2,-3.914731368E-2
5.887599530E-1,6.857437640E-2,-2.383458801E-2,-4.340824485E-2
