"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.409860310E1,-8.195417374E-2,-9.970293999E0,1.884347759E-2
6.410108784E1,-1.178465188E-1,-9.963115692E0,9.272187948E-3
6.410357258E1,-1.058823988E-1,-9.979865074E0,2.841476910E-2
6.410605732E1,-7.477571070E-2,-9.975079536E0,2.123630047E-2
6.410854211E1,-8.195417374E-2,-9.989436150E0,6.879365072E-3
6.411102685E1,-8.913264424E-2,-9.960722923E0,1.884347759E-2
6.411351159E1,-8.434699476E-2,-9.970293999E0,-2.691925503E-3
6.411600987E1,-9.870393574E-2,-9.955936432E0,-7.477570791E-3
6.411849461E1,-6.281159073E-2,-9.955936432E0,2.602194622E-2
6.412097940E1,-6.281159073E-2,-9.936794281E0,-1.704886183E-2
6.412346414E1,-7.716853172E-2,-9.898509026E0,2.093719784E-3
6.412594888E1,-8.434699476E-2,-9.932008743E0,1.645065658E-2
6.412843368E1,-8.195417374E-2,-9.924830437E0,1.645065658E-2
6.413091842E1,-8.195417374E-2,-9.920044899E0,3.559323773E-2
6.413340316E1,-7.956135273E-2,-9.910472870E0,-7.477570791E-3
6.413588789E1,-6.999006122E-2,-9.900901794E0,1.405783277E-2
6.413837269E1,-1.010967568E-1,-9.900901794E0,4.995017126E-2
6.414085743E1,-6.759724021E-2,-9.908080101E0,3.798605874E-2
6.414334216E1,-4.845465720E-2,-9.896116257E0,1.405783277E-2
6.414582331E1,-6.281159073E-2,-9.924830437E0,3.320041299E-2
6.414830805E1,-3.409772366E-2,-9.898509026E0,1.645065658E-2
6.415079284E1,-4.606183618E-2,-9.886545181E0,1.645065658E-2
6.415327758E1,-8.195417374E-2,-9.929615974E0,2.362912335E-2
6.415576232E1,-4.606183618E-2,-9.927223206E0,-1.465603895E-2
6.415824711E1,-5.802594870E-2,-9.963115692E0,3.080759197E-2
6.416073185E1,-9.152546525E-2,-9.955936432E0,2.362912335E-2
6.416321659E1,-8.434699476E-2,-9.960722923E0,1.645065658E-2
6.416570133E1,-5.802594870E-2,-9.951150894E0,-1.226321608E-2
6.416818612E1,-5.084748194E-2,-9.970293999E0,2.093719784E-3
6.417067086E1,-9.391828626E-2,-9.979865074E0,3.080759197E-2
6.417315560E1,-8.434699476E-2,-9.991828918E0,1.884347759E-2
6.417564071E1,-6.520441920E-2,-9.987043381E0,1.405783277E-2
6.417812545E1,-8.434699476E-2,-1.000857925E1,1.405783277E-2
6.418061024E1,-5.324030295E-2,-9.989436150E0,6.879365072E-3
6.418309498E1,-1.130608693E-1,-1.001815033E1,4.486542661E-3
6.418557972E1,-9.391828626E-2,-1.003250694E1,9.272187948E-3
6.418806451E1,-5.324030295E-2,-1.001097202E1,9.272187948E-3
6.419054925E1,-8.195417374E-2,-1.000618649E1,1.166501082E-2
6.419303399E1,-1.106680483E-1,-1.004477024E1,1.645065658E-2
6.419551873E1,-6.520441920E-2,-1.000857925E1,2.362912335E-2
6.419800352E1,-7.956135273E-2,-1.002293587E1,1.645065658E-2
6.420048826E1,-7.477571070E-2,-9.999007225E0,2.602194622E-2
6.420297300E1,-8.195417374E-2,-1.000857925E1,3.080759197E-2
6.420545951E1,-7.477571070E-2,-1.000857925E1,-2.691925503E-3
6.420794425E1,-8.673982322E-2,-1.001575756E1,1.884347759E-2
6.421042904E1,-6.759724021E-2,-9.982257843E0,4.486542661E-3
6.421291378E1,-9.152546525E-2,-9.970293999E0,1.645065658E-2
6.421539852E1,-1.441675574E-1,-1.002054310E1,3.798605874E-2
6.421788331E1,-9.631111473E-2,-1.002532864E1,1.405783277E-2
6.422036805E1,-8.913264424E-2,-9.967901230E0,9.272187948E-3
6.422285279E1,-7.956135273E-2,-9.955936432E0,6.191428751E-2
6.422533753E1,-8.195417374E-2,-9.948758125E0,-7.477570791E-3
6.422782232E1,-1.298106313E-1,-9.953543663E0,-2.991028305E-4
6.423030706E1,-9.870393574E-2,-9.929615974E0,2.123630047E-2
6.423279180E1,-1.034895778E-1,-9.924830437E0,-1.704886183E-2
6.423527753E1,-7.477571070E-2,-9.927223206E0,9.272187948E-3
6.423776227E1,-1.082752272E-1,-9.929615974E0,2.602194622E-2
6.424024706E1,-9.152546525E-2,-9.927223206E0,-2.183450572E-2
6.424273180E1,-8.195417374E-2,-9.912865639E0,1.405783277E-2
6.424521654E1,-6.041877344E-2,-9.891330719E0,3.320041299E-2
6.424770133E1,-3.409772366E-2,-9.898509026E0,3.798605874E-2
6.425018607E1,-9.391828626E-2,-9.920044899E0,1.884347759E-2
6.425267081E1,-8.913264424E-2,-9.917651176E0,9.272187948E-3
6.425515555E1,-9.152546525E-2,-9.898509026E0,-2.662015148E-2
6.425764034E1,-9.631111473E-2,-9.884152412E0,9.272187948E-3
6.426012508E1,-8.195417374E-2,-9.869794846E0,1.884347759E-2
6.426260982E1,-6.520441920E-2,-9.886545181E0,9.272187948E-3
6.426507966E1,-9.391828626E-2,-9.865009308E0,2.093719784E-3
6.426756440E1,-1.010967568E-1,-9.867402077E0,1.645065658E-2
6.427004920E1,-9.152546525E-2,-9.888937950E0,3.798605874E-2
6.427253394E1,-1.010967568E-1,-9.860223770E0,1.166501082E-2
6.427501868E1,-1.154536903E-1,-9.872187614E0,-7.477570791E-3
6.427750347E1,-9.631111473E-2,-9.891330719E0,-1.944168471E-2
6.427998821E1,-9.391828626E-2,-9.865009308E0,2.841476910E-2
6.428247295E1,-1.154536903E-1,-9.888937950E0,4.486542661E-3
6.428495769E1,-1.034895778E-1,-9.896116257E0,3.080759197E-2
6.428744248E1,-1.058823988E-1,-9.881759644E0,-5.084747914E-3
6.428992722E1,-1.154536903E-1,-9.879366875E0,-5.084747914E-3
6.429241196E1,-1.154536903E-1,-9.912865639E0,4.995017126E-2
6.429489576E1,-9.391828626E-2,-9.934401512E0,4.755735025E-2
6.429738050E1,-1.082752272E-1,-9.903294563E0,3.080759197E-2
6.429986529E1,-1.441675574E-1,-9.903294563E0,2.362912335E-2
6.430235003E1,-1.322034448E-1,-9.912865639E0,2.123630047E-2
6.430483477E1,-9.152546525E-2,-9.903294563E0,3.320041299E-2
6.430731956E1,-8.434699476E-2,-9.924830437E0,1.645065658E-2
6.430980430E1,-1.393819153E-1,-9.936794281E0,2.123630047E-2
6.431228904E1,-1.465603858E-1,-9.958329201E0,2.602194622E-2
6.431477378E1,-1.369891018E-1,-9.932008743E0,-1.704886183E-2
6.431725857E1,-1.369891018E-1,-9.929615974E0,4.995017126E-2
6.431974331E1,-1.441675574E-1,-9.936794281E0,4.037888348E-2
6.432222805E1,-1.417747438E-1,-9.963115692E0,2.841476910E-2
6.432471279E1,-1.130608693E-1,-9.951150894E0,6.879365072E-3
6.432719753E1,-8.673982322E-2,-9.953543663E0,4.995017126E-2
6.432968227E1,-1.082752272E-1,-9.934401512E0,1.405783277E-2
6.433216706E1,-1.010967568E-1,-9.943972588E0,1.166501082E-2
6.433465180E1,-1.345962733E-1,-9.922437668E0,3.080759197E-2
6.433713659E1,-1.154536903E-1,-9.905687332E0,1.645065658E-2
6.433962133E1,-1.226321608E-1,-9.896116257E0,-1.704886183E-2
6.434210607E1,-1.178465188E-1,-9.917651176E0,-5.084747914E-3
6.434459081E1,-1.154536903E-1,-9.853045464E0,4.277170449E-2
6.434707560E1,-1.178465188E-1,-9.862616539E0,5.952146277E-2
6.434956034E1,-1.106680483E-1,-9.924830437E0,-5.084747914E-3
6.435204508E1,-6.041877344E-2,-9.943972588E0,1.645065658E-2
6.435453112E1,-1.034895778E-1,-9.903294563E0,2.123630047E-2
6.435701586E1,-1.274178028E-1,-9.896116257E0,3.080759197E-2
6.435950066E1,-1.274178028E-1,-9.965508461E0,5.473581702E-2
6.436198539E1,-1.345962733E-1,-9.972686768E0,4.995017126E-2
6.436447013E1,-8.913264424E-2,-1.001336479E1,4.277170449E-2
6.436695492E1,-9.152546525E-2,-1.000857925E1,3.320041299E-2
6.436943966E1,-9.152546525E-2,-1.002293587E1,4.037888348E-2
6.437192440E1,-1.298106313E-1,-1.003011417E1,3.559323773E-2
6.437440914E1,-1.058823988E-1,-1.005912685E1,-1.226321608E-2
6.437689394E1,-1.130608693E-1,-1.003998470E1,4.037888348E-2
6.437937868E1,-9.870393574E-2,-9.996614456E0,5.952146277E-2
6.438186342E1,-1.034895778E-1,-1.003011417E1,9.272187948E-3
6.438434836E1,-1.250249892E-1,-1.000857925E1,4.277170449E-2
6.438683310E1,-8.434699476E-2,-9.979865074E0,2.123630047E-2
6.438931789E1,-1.058823988E-1,-9.970293999E0,6.879365072E-3
6.439180263E1,-1.130608693E-1,-9.941579819E0,4.486542661E-3
6.439428737E1,-1.034895778E-1,-9.929615974E0,2.123630047E-2
6.439677216E1,-9.391828626E-2,-9.965508461E0,4.516452923E-2
6.439925690E1,-8.434699476E-2,-9.951150894E0,1.884347759E-2
6.440174164E1,-9.391828626E-2,-9.920044899E0,4.037888348E-2
6.440422638E1,-9.870393574E-2,-9.905687332E0,7.866404206E-2
6.440671118E1,-1.154536903E-1,-9.903294563E0,4.755735025E-2
6.440919592E1,-1.489532143E-1,-9.862616539E0,3.080759197E-2
6.441168066E1,-1.154536903E-1,-9.836296082E0,4.486542661E-3
6.441416487E1,-8.673982322E-2,-9.824331284E0,-1.226321608E-2
6.441664961E1,-1.202393398E-1,-9.812367439E0,3.559323773E-2
6.441913440E1,-1.322034448E-1,-9.850652695E0,4.995017126E-2
6.442161914E1,-1.226321608E-1,-9.819545746E0,2.362912335E-2
6.442410388E1,-1.226321608E-1,-9.821938515E0,4.516452923E-2
6.442658868E1,-1.322034448E-1,-9.829116821E0,7.387840003E-2
6.442907342E1,-1.130608693E-1,-9.829116821E0,4.516452923E-2
6.443155816E1,-9.870393574E-2,-9.833903313E0,3.320041299E-2
6.443404295E1,-1.106680483E-1,-9.853045464E0,2.123630047E-2
6.443652769E1,-1.226321608E-1,-9.900901794E0,3.559323773E-2
6.443901242E1,-1.202393398E-1,-9.872187614E0,1.405783277E-2
6.444149722E1,-1.106680483E-1,-9.855438232E0,3.559323773E-2
6.444398175E1,-1.322034448E-1,-9.910472870E0,-2.991028305E-4
6.444646649E1,-1.058823988E-1,-9.917651176E0,1.884347759E-2
6.444895128E1,-9.870393574E-2,-9.929615974E0,2.841476910E-2
6.445143602E1,-1.226321608E-1,-9.979865074E0,4.277170449E-2
6.445392076E1,-9.391828626E-2,-9.948758125E0,4.755735025E-2
6.445640555E1,-7.956135273E-2,-9.927223206E0,2.602194622E-2
6.445889029E1,-1.058823988E-1,-9.972686768E0,9.272187948E-3
6.446137503E1,-1.082752272E-1,-9.951150894E0,1.884347759E-2
6.446385982E1,-6.999006122E-2,-9.943972588E0,1.166501082E-2
6.446634456E1,-1.130608693E-1,-9.941579819E0,2.093719784E-3
6.446882930E1,-9.870393574E-2,-9.948758125E0,-1.226321608E-2
6.447131409E1,-8.195417374E-2,-9.977472305E0,2.123630047E-2
6.447379847E1,-1.226321608E-1,-9.977472305E0,4.516452923E-2
6.447628321E1,-1.202393398E-1,-9.953543663E0,2.602194622E-2
6.447876800E1,-1.250249892E-1,-9.953543663E0,4.486542661E-3
6.448125274E1,-9.391828626E-2,-9.977472305E0,5.712864175E-2
6.448373748E1,-7.716853172E-2,-9.958329201E0,6.191428751E-2
6.448622227E1,-1.106680483E-1,-9.939187050E0,1.884347759E-2
6.448870701E1,-1.058823988E-1,-9.929615974E0,9.272187948E-3
6.449119175E1,-1.034895778E-1,-9.929615974E0,2.093719784E-3
6.449367654E1,-8.195417374E-2,-9.932008743E0,2.362912335E-2
6.449616128E1,-1.130608693E-1,-9.946365356E0,4.995017126E-2
6.449864602E1,-1.106680483E-1,-9.915258408E0,2.362912335E-2
6.450113081E1,-9.631111473E-2,-9.908080101E0,2.362912335E-2
6.450361680E1,-8.913264424E-2,-9.934401512E0,3.320041299E-2
6.450610154E1,-1.154536903E-1,-9.915258408E0,3.798605874E-2
6.450858633E1,-1.154536903E-1,-9.881759644E0,2.602194622E-2
6.451107107E1,-1.250249892E-1,-9.900901794E0,1.645065658E-2
6.451355581E1,-1.106680483E-1,-9.920044899E0,3.559323773E-2
6.451604060E1,-1.034895778E-1,-9.929615974E0,2.602194622E-2
6.451852534E1,-1.369891018E-1,-9.939187050E0,1.405783277E-2
6.452101008E1,-1.322034448E-1,-9.908080101E0,2.841476910E-2
6.452349487E1,-9.391828626E-2,-9.939187050E0,1.884347759E-2
6.452597961E1,-1.250249892E-1,-9.936794281E0,2.602194622E-2
6.452846435E1,-1.010967568E-1,-9.948758125E0,2.362912335E-2
6.453094914E1,-1.226321608E-1,-9.924830437E0,-2.691925503E-3
6.453343373E1,-1.513460279E-1,-9.958329201E0,1.884347759E-2
6.453591847E1,-1.202393398E-1,-9.929615974E0,6.879365072E-3
6.453840326E1,-1.130608693E-1,-9.912865639E0,-1.226321608E-2
6.454088800E1,-1.513460279E-1,-9.934401512E0,6.879365072E-3
6.454337274E1,-1.298106313E-1,-9.941579819E0,-2.691925503E-3
6.454585753E1,-1.010967568E-1,-9.924830437E0,1.166501082E-2
6.454834227E1,-1.441675574E-1,-9.893723488E0,4.486542661E-3
6.455082701E1,-1.298106313E-1,-9.898509026E0,-2.183450572E-2
6.455331180E1,-8.673982322E-2,-9.865009308E0,-7.477570791E-3
6.455579654E1,-9.870393574E-2,-9.845867157E0,2.362912335E-2
6.455828128E1,-1.130608693E-1,-9.860223770E0,4.486542661E-3
6.456076607E1,-9.631111473E-2,-9.841081619E0,4.486542661E-3
6.456325086E1,-8.195417374E-2,-9.860223770E0,1.884347759E-2
6.456573560E1,-1.058823988E-1,-9.833903313E0,3.798605874E-2
6.456822034E1,-1.202393398E-1,-9.824331284E0,1.405783277E-2
6.457070513E1,-1.178465188E-1,-9.814760208E0,1.645065658E-2
6.457318987E1,-1.226321608E-1,-9.807581902E0,9.272187948E-3
6.457567467E1,-1.322034448E-1,-9.841081619E0,-2.901297435E-2
6.457815941E1,-8.434699476E-2,-9.867402077E0,-1.944168471E-2
6.458064414E1,-1.322034448E-1,-9.862616539E0,1.166501082E-2
6.458312894E1,-1.393819153E-1,-9.876974106E0,4.516452923E-2
6.458561368E1,-1.010967568E-1,-9.886545181E0,4.037888348E-2
6.458809842E1,-1.106680483E-1,-9.910472870E0,-1.704886183E-2
6.459058321E1,-1.441675574E-1,-9.929615974E0,-2.991028305E-4
6.459306675E1,-1.633101404E-1,-9.908080101E0,1.645065658E-2
6.459555149E1,-1.274178028E-1,-9.958329201E0,2.841476910E-2
6.459803628E1,-1.226321608E-1,-9.943972588E0,-1.704886183E-2
6.460052102E1,-1.010967568E-1,-9.929615974E0,2.841476910E-2
6.460300576E1,-1.226321608E-1,-9.948758125E0,3.320041299E-2
6.460549055E1,-1.393819153E-1,-9.946365356E0,-2.662015148E-2
6.460797529E1,-1.441675574E-1,-9.943972588E0,-7.477570791E-3
6.461046003E1,-1.010967568E-1,-9.953543663E0,-1.944168471E-2
6.461294482E1,-1.513460279E-1,-9.960722923E0,1.166501082E-2
6.461542956E1,-1.393819153E-1,-9.967901230E0,2.123630047E-2
6.461791430E1,-1.274178028E-1,-9.912865639E0,1.884347759E-2
6.462039909E1,-1.226321608E-1,-9.905687332E0,1.166501082E-2
6.462288508E1,-1.082752272E-1,-9.884152412E0,2.362912335E-2
6.462536982E1,-1.465603858E-1,-9.888937950E0,4.995017126E-2
6.462785461E1,-1.298106313E-1,-9.893723488E0,3.559323773E-2
6.463033935E1,-1.058823988E-1,-9.867402077E0,1.166501082E-2
6.463282409E1,-1.226321608E-1,-9.869794846E0,3.559323773E-2
6.463530888E1,-1.178465188E-1,-9.903294563E0,3.080759197E-2
6.463779362E1,-9.631111473E-2,-9.879366875E0,3.080759197E-2
6.464027836E1,-1.202393398E-1,-9.891330719E0,2.602194622E-2
6.464276316E1,-1.417747438E-1,-9.932008743E0,4.486542661E-3
