"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.177495185E2,1.016244814E-1,-3.193187714E-2,-1.152864546E-1
1.177544880E2,1.110659689E-1,-4.586601257E-2,-9.670330584E-2
1.177594578E2,1.121387184E-1,-6.205844879E-2,-1.042527556E-1
1.177644274E2,1.121454984E-1,-5.317687988E-2,-9.035755694E-2
1.177693970E2,9.789847583E-2,-6.337356567E-2,-1.026577130E-1
1.177743665E2,1.168709621E-1,-4.141235352E-2,-8.849161863E-2
1.177793361E2,1.228789091E-1,-3.009796143E-3,-9.104782343E-2
1.177843057E2,1.262543201E-1,1.963424683E-2,-9.342445433E-2
1.177892750E2,1.225794926E-1,1.239204407E-2,-6.859169900E-2
1.177942446E2,1.009869426E-1,5.153656006E-2,-7.701862603E-2
1.177992141E2,1.198032647E-1,5.353736877E-2,-8.276453614E-2
1.178041837E2,1.005841792E-1,4.007625580E-2,-9.466126561E-2
1.178091532E2,1.052024961E-1,8.611583710E-2,-7.069622725E-2
1.178141228E2,1.142734215E-1,6.407260895E-2,-1.038921624E-1
1.178190931E2,9.827332199E-2,6.359291077E-2,-5.364142358E-2
1.178240627E2,9.776997566E-2,5.836677551E-2,-9.273651242E-2
1.178290322E2,9.489608556E-2,6.149673462E-2,-4.487533495E-2
1.178340018E2,8.967030048E-2,6.816291809E-2,-5.912555754E-2
1.178389713E2,5.714323372E-2,7.121086121E-2,-7.545121014E-2
1.178439409E2,7.472252846E-2,2.078151703E-2,-6.191903725E-2
1.178489097E2,6.599871069E-2,1.653671265E-3,-5.203754827E-2
1.178538792E2,7.506188750E-2,1.000595093E-2,-8.256621659E-2
1.178588488E2,6.370007992E-2,-4.109954834E-2,-5.934152007E-2
1.178638184E2,5.705315620E-2,-8.821678162E-2,-6.115067750E-2
1.178687879E2,5.756230652E-2,-1.123733521E-1,-6.281403452E-2
1.178737575E2,5.917693675E-2,-8.406829834E-2,-5.013145506E-2
1.178787272E2,4.518177360E-2,-1.011333466E-1,-5.412937701E-2
1.178836967E2,7.160775363E-2,-1.002426147E-1,-5.218311027E-2
1.178886663E2,8.570297062E-2,-1.005458832E-1,-2.768274397E-2
1.178936359E2,5.790043995E-2,-7.590389252E-2,-2.479179576E-2
1.178986054E2,5.165748298E-2,-5.384540558E-2,-1.115605235E-2
1.179035750E2,6.191278249E-2,-2.128219604E-2,-1.795581728E-2
1.179085435E2,6.699561328E-2,-8.678436279E-4,-8.016292006E-3
